candidate_id,gap_id,interval_index,start_seconds,end_seconds,minimum_access_margin_db,sample_intervals,duration_seconds
Q2-013-G01-R0577C0682H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.188757743513662,195,970.5951914222715
Q2-013-G01-R0582C0652H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.24474572774838,195,970.5951914222715
Q2-013-G01-R0582C0647H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.009442878952541,195,970.5951914222715
Q2-013-G01-R0577C0662H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.00171903167255,195,970.5951914222715
Q2-013-G01-R0587C0647H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.58702615397982,195,970.5951914222715
Q2-013-G01-R0582C0642H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.760582434151345,195,970.5951914222715
Q2-013-G01-R0587C0642H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.307240718401175,195,970.5951914222715
Q2-013-G01-R0572C0687H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.565290010966137,195,970.5951914222715
Q2-013-G01-R0572C0682H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.614723552711752,195,970.5951914222715
Q2-013-G01-R0577C0652H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.689895997750071,195,970.5951914222715
Q2-013-G01-R0577C0647H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.478874384091426,195,970.5951914222715
Q2-013-G01-R0577C0687H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,9.156065794761972,195,970.5951914222715
Q2-013-G01-R0577C0642H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.263374586758601,195,970.5951914222715
Q2-013-G01-R0582C0627H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.901299490756315,195,970.5951914222715
Q2-013-G01-R0572C0657H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.309334446787986,195,970.5951914222715
Q2-013-G01-R0577C0637H200,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.046445745370448,195,970.5951914222715
Q2-013-G01-R0577C0637H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.014613840451403,195,970.5951914222715
Q2-013-G01-R0572C0652H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.15739908899927,195,970.5951914222715
Q2-013-G01-R0567C0677H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,8.05997907704058,195,970.5951914222715
Q2-013-G01-R0572C0647H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.993741874080158,195,970.5951914222715
Q2-013-G01-R0567C0662H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.9016495606000205,195,970.5951914222715
Q2-013-G01-R0572C0642H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.791075455751354,195,970.5951914222715
Q2-013-G01-R0562C0702H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.28888888366194,195,970.5951914222715
Q2-013-G01-R0562C0697H300,Q2-013-G01,1,4465.430301278538,5436.025492700809,7.371331176603803,195,970.5951914222715
